id,agent,avg_similarity,equivalent,completion,file_count,success_count,errors,input_tokens,output_tokens,duration_seconds,exit_code,timed_out
a-1-1,toolsgenie,1.0,1,1,1,1,,8161,3769,71.259462,0,FALSE
a-1-10,toolsgenie,0.0,0,1,1,1,,9188,4079,77.117793,0,FALSE
a-1-11,toolsgenie,1.0,1,1,1,1,,30046,15255,639.909982,0,FALSE
a-1-12,toolsgenie,1.0,1,1,1,1,,28642,7528,160.799378,0,FALSE
a-1-13,toolsgenie,1.0,1,1,1,1,,31473,9336,233.690959,0,FALSE
a-1-14,toolsgenie,0.0,0,1,1,1,,45629,14733,444.929129,0,FALSE
a-1-15,toolsgenie,1.0,1,1,1,1,,21726,5816,104.334728,0,FALSE
a-1-2,toolsgenie,,0,0,1,0,Reference file is not valid: Tabix index file validation failed: file `/mnt/data/lengyang/youjia_project/autoba/test_babench/tasks/a-1-2/data/A375_WGS_WMG.cnv.vcf.gz` not found,8058,2844,57.053739,0,FALSE
a-1-3,toolsgenie,1.0,1,1,1,1,,8855,2198,54.050286,0,FALSE
a-1-4,toolsgenie,1.0,1,1,1,1,,9024,2807,58.454824,0,FALSE
a-1-5,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,13218,4079,107.310857,0,FALSE
a-1-6,toolsgenie,0.55,1,1,1,1,,8811,4268,445.460762,0,FALSE
a-1-7,toolsgenie,1.0,1,1,1,1,,18900,4347,89.290792,0,FALSE
a-1-8,toolsgenie,1.0,1,1,1,1,,8308,3636,63.457069,0,FALSE
a-1-9,toolsgenie,1.0,1,1,1,1,,8432,2152,52.065251,0,FALSE
a-10-1,toolsgenie,1.0,1,1,1,1,,25828,6686,119.544972,0,FALSE
a-10-2,toolsgenie,0.0,0,0,2,0,Candidate file not found: None,,,336.542182,1,FALSE
a-10-3,toolsgenie,0.6666666666666666,1,1,1,1,,23748,12326,206.584223,0,FALSE
a-10-4,toolsgenie,0.9733333243766751,1,1,3,3,,39802,13306,233.852329,0,FALSE
a-10-5,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,3600.128052,124,TRUE
a-11-1,toolsgenie,0.855,1,1,2,2,,45855,11867,315.939221,0,FALSE
a-11-10,toolsgenie,0.9928994082840237,1,1,1,1,,,,3600.050746,124,TRUE
a-11-2,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,8.611431,1,FALSE
a-11-3,toolsgenie,0.0,0,0,1,0,Candidate file not found: None,,,8.60913,1,FALSE
a-11-4,toolsgenie,0.0,0,1,1,1,,43844,12825,551.312299,0,FALSE
